Date,ppo_strategy,a2c_strategy,ddpg_strategy,ensemble_strategy,SSE 50 Index
2018/7/20,-0.004687925,-0.010983828,0.006333413,0.006333413,0.027863835
2018/7/23,0.017386386,0.009164474,0.017031588,0.017031588,0.013252131
2018/7/24,-0.001641269,0.008834612,0.005518046,0.005518046,0.014552246
2018/7/25,-0.010579312,-0.012482275,-0.01147381,-0.01147381,4.04E-05
2018/7/26,0.001906824,-0.000636701,0.001906076,0.001906076,-0.012753428
2018/7/27,-0.015068619,-0.000650593,0.011783796,0.011783796,-0.002331023
2018/7/30,0.006289859,-0.002656283,-0.004310897,-0.004310897,0.006422183
2018/7/31,-0.017476705,-0.017043315,-0.017646675,-0.017646675,0.001501668
2018/8/1,-0.02301858,-0.006210616,-0.002035808,-0.002035808,-0.021562365
2018/8/2,-0.017585498,-0.019502161,-0.017330055,-0.017330055,-0.020051317
2018/8/3,-0.013897287,-0.024109286,-0.005689085,-0.005689085,-0.010986092
2018/8/6,0.026328208,0.02952202,0.031097983,0.031097983,-0.002886551
2018/8/7,-0.013299952,-0.011536947,-0.007222903,-0.007222903,0.030435067
2018/8/8,0.019758094,0.0342491,0.01605631,0.01605631,-0.013219643
2018/8/9,-0.004067577,0.010062686,0.003995857,0.003995857,0.023546977
2018/8/10,-0.009711801,-0.007517245,-0.006407691,-0.006407691,-0.000563519
2018/8/13,0.001356848,0.000786402,-0.000122098,-0.000122098,-0.009866228
2018/8/14,-0.025129819,-0.033325666,-0.031671552,-0.031671552,-0.003755646
2018/8/15,-0.012146164,0.00020505,-0.001022418,-0.001022418,-0.024493073
2018/8/16,-0.015891828,-0.018052078,-0.020573349,-0.020573349,-0.001477173
2018/8/17,0.013695638,0.001529522,0.011705274,0.011705274,-0.012885152
2018/8/20,0.026703937,0.026732702,0.019713745,0.019713745,0.014723443
2018/8/21,-0.004109533,-0.004996949,-0.001788018,-0.001788018,0.017954373
2018/8/22,0.005215015,0.009622762,0.004589195,0.004589195,-0.000909156
