,datadate,turbulence
1131,20160829,14.814602123968033
1132,20160830,15.303514361987979
1133,20160831,15.790895240722742
1134,20160901,15.06561547597003
1135,20160902,14.23560642946956
1136,20160905,14.9612642679664
1137,20160906,14.338655419627308
1138,20160907,15.39996146909263
1139,20160908,15.149354899507296
1140,20160909,13.124634884550856
1141,20160912,11.14245148478161
1142,20160913,11.121982985819992
1143,20160914,10.824804516421402
1144,20160919,11.058472932234524
1145,20160920,10.043577942783024
1146,20160921,9.349085798017873
1147,20160922,9.902472393371088
1148,20160923,9.363471898465413
1149,20160926,8.70384714543844
1150,20160927,8.832215819365274
1151,20160928,8.993322524974952
1152,20160929,9.025513588326364
1153,20160930,10.063073009523466
1154,20161010,11.361280375380922
1155,20161011,11.881156475910831
1156,20161012,10.355566043195392
1157,20161013,10.813893966732806
1158,20161014,10.82990335461503
1159,20161017,11.013574183978843
1160,20161018,11.81091315534274
1161,20161019,13.159918105181488
1162,20161020,13.461830639462347
1163,20161021,14.50284890159557
1164,20161024,12.535135725511545
1165,20161025,12.02817862047397
1166,20161026,12.449829934280373
1167,20161027,13.467656621176179
1168,20161028,12.977891821112078
1169,20161031,13.902961161093009
1170,20161101,13.594869365641841
1171,20161102,12.875205560637108
1172,20161103,12.952050945358812
1173,20161104,12.54662008269477
1174,20161107,12.684726948480744
1175,20161108,13.680106490067818
1176,20161109,13.17719890520945
1177,20161110,14.679940775694618
1178,20161111,15.353568118258808
1179,20161114,14.035579407399355
1180,20161115,13.257541267028413
1181,20161116,12.880698020081523
1182,20161117,13.08786460729918
1183,20161118,12.31272156502128
1184,20161121,11.809033958502472
1185,20161122,11.172233743881844
1186,20161123,11.833483729369267
1187,20161124,16.181518727039556
1188,20161125,16.933508691650864
1189,20161128,12.906469156311115
1190,20161129,16.90717439623706
1191,20161130,16.099959274115637
1192,20161201,17.873991924233962
1193,20161202,14.74195889544701
1194,20161205,11.825419754452973
1195,20161206,11.66987151804582
1196,20161207,11.985246836036929
1197,20161208,13.800476112049804
1198,20161209,13.354488127269104
1199,20161212,11.862515038944219
1200,20161213,14.492778245216794
1201,20161214,14.225812678995176
1202,20161215,11.010175520034466
1203,20161216,12.177992750701119
1204,20161219,12.561526596591111
1205,20161220,11.991268125752985
